,Channel,Bout_Count,No,Sex,Rep
52308,adj_Monitor22_ch20,10.333333333333334,64498,M,1
52490,adj_Monitor22_ch21,14.333333333333334,64498,M,1
52718,adj_Monitor22_ch22,20.666666666666668,64498,M,1
53068,adj_Monitor22_ch23,11.5,64498,M,1
53266,adj_Monitor22_ch24,17.166666666666668,64498,M,1
53586,adj_Monitor22_ch25,16.166666666666668,64498,M,1
53842,adj_Monitor22_ch26,19.166666666666668,64498,M,1
54161,adj_Monitor22_ch27,18.166666666666668,64498,M,1
54446,adj_Monitor22_ch28,18.666666666666668,64498,M,1
54766,adj_Monitor22_ch29,16.5,64498,M,1
55047,adj_Monitor22_ch3,14.666666666666666,64498,M,1
55324,adj_Monitor22_ch30,20.833333333333332,64498,M,1
55706,adj_Monitor22_ch31,11.0,64498,M,1
55866,adj_Monitor22_ch32,22.333333333333332,64498,M,1
56272,adj_Monitor22_ch4,15.666666666666666,64498,M,1
56528,adj_Monitor22_ch5,13.833333333333334,64498,M,1
56748,adj_Monitor22_ch6,17.666666666666668,64498,M,1
57070,adj_Monitor22_ch7,19.0,64498,M,1
57422,adj_Monitor22_ch8,12.0,64498,M,1
57638,adj_Monitor22_ch9,21.833333333333332,64498,M,1
58008,adj_Monitor24_ch1,9.166666666666666,TRiPsc,M,1
58172,adj_Monitor24_ch10,22.666666666666668,TRiPsc,M,1
58568,adj_Monitor24_ch11,13.0,TRiPsc,M,1
58780,adj_Monitor24_ch12,14.333333333333334,TRiPsc,M,1
59024,adj_Monitor24_ch13,7.833333333333333,TRiPsc,M,1
59148,adj_Monitor24_ch14,14.666666666666666,TRiPsc,M,1
59374,adj_Monitor24_ch15,13.333333333333334,TRiPsc,M,1
59604,adj_Monitor24_ch16,5.833333333333333,TRiPsc,M,1
59692,adj_Monitor24_ch17,18.0,TRiPsc,M,1
59966,adj_Monitor24_ch18,7.0,TRiPsc,M,1
60102,adj_Monitor24_ch19,6.166666666666667,TRiPsc,M,1
60198,adj_Monitor24_ch20,16.166666666666668,TRiPsc,M,1
60462,adj_Monitor24_ch21,10.166666666666666,TRiPsc,M,1
60630,adj_Monitor24_ch22,14.0,TRiPsc,M,1
60898,adj_Monitor24_ch23,8.333333333333334,TRiPsc,M,1
61030,adj_Monitor24_ch24,5.833333333333333,TRiPsc,M,1
61132,adj_Monitor24_ch25,29.333333333333332,TRiPsc,M,1
61588,adj_Monitor24_ch26,7.833333333333333,TRiPsc,M,1
61710,adj_Monitor24_ch27,17.5,TRiPsc,M,1
61996,adj_Monitor24_ch28,14.0,TRiPsc,M,1
62206,adj_Monitor24_ch29,10.833333333333334,TRiPsc,M,1
62380,adj_Monitor24_ch3,10.833333333333334,TRiPsc,M,1
62582,adj_Monitor24_ch30,11.333333333333334,TRiPsc,M,1
62748,adj_Monitor24_ch31,13.5,TRiPsc,M,1
63004,adj_Monitor24_ch32,13.333333333333334,TRiPsc,M,1
63228,adj_Monitor24_ch4,21.0,TRiPsc,M,1
63556,adj_Monitor24_ch5,20.666666666666668,TRiPsc,M,1
63880,adj_Monitor24_ch6,12.666666666666666,TRiPsc,M,1
